# Taken from: http://useast.ensembl.org/Homo_sapiens/Experiment/Sources?db=core;ex=all
NExper	Link	Epigenome	Type	Description
1	Show	GM18505	Cell/Tissue	B-lymphoblastoid cell line, International HapMap Project, Yoruba in Ibadan, Nigera, treatment: Epstein-Barr Virus transformed
8	Show	DND-41	Cell/Tissue	ENCODE Reference Epigenome of DND-41
13	Show	myotube	Cell/Tissue	ENCODE Reference Epigenome of human skeletal muscle myoblast derived myotube
7	Show	iPS DF 6.9	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 2) for iPS DF 6.9 Cells using donors/samples:iPS-6.9-01;iPS-6.9-02
5	Show	neurosphere (C)	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 4) for Cortex Derived Primary Cultured Neurospheres using donors/samples:HuFNSC02
7	Show	NK (PB)	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 5) for Primary Natural Killer Cells from Peripheral Blood using donors/samples:RO_01679;RO_01701
19	Show	HUVEC	Cell/Tissue	ENCODE Reference Epigenome of endothelial cell of umbilical vein
6	Show	brain_1	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 3) for Fetal Brain Male using donors/samples:H-22510;UW_H22676
1	Show	GM15510	Cell/Tissue	B-lymphoblastoid cell line, NIGMS Human Genetic Cell Repository, DNA Polymorphism Discovery Resource Collection, treatment: Epstein-Barr Virus transformed
7	Show	M1 (VB)	Cell/Tissue	BLUEPRINT Epigenome for inflammatory macrophage from venous blood
21	Show	NPC_3	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 1) for H1 Derived Neuronal Progenitor Cultured Cells using donors/samples:NPC-03;NPC-04;NPC-05;NPC-06
6	Show	M1 (CB)	Cell/Tissue	BLUEPRINT Epigenome for inflammatory macrophage from cord blood
7	Show	mononuclear (PB)	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 4) for Primary Mononuclear Cells from Peripheral Blood using donors/samples:TC010;TC012
5	Show	EM CD8+ ab T (VB)	Cell/Tissue	BLUEPRINT Epigenome for effector memory CD8-positive, alpha-beta T cell from venous blood
4	Show	CD38- naive B (CB)	Cell/Tissue	BLUEPRINT Epigenome for CD38-negative naive B cell from cord blood
22	Show	trophoblast	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 1) for H1 Derived Trophoblast Cultured Cells using donors/samples:BMP4-05 ;BMP4-06; BMP4-09; BMP4-10
5	Show	CMP CD4+_2	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 5) for Primary Hematopoietic Stem Cells Short Term Culture using donors/samples:123;cultured_CD34_2_20_09
6	Show	aorta	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 2) for Aorta using donors/samples:STL003
6	Show	CD4+ ab T (PB)_2	Cell/Tissue	Roadmap Epigenomics Mapping Consortium Epigenome (Class 5) for Primary T Helper Memory Cells from Peripheral Blood 1 using donors/samples:62;332
